model_key,model_label,examples,ok_count,error_count,accuracy,exact_match,token_precision,token_recall,token_f1,bleu,role_accuracy,confidence_mean,latency_ms_mean,latency_ms_median,latency_ms_p95
legacy_baseline,Legacy PropQA-Net Baseline,15,15,0,0.2,0.2,0.5380952380952381,0.8688888888888889,0.5522222222222222,0.4046076100978676,0.3333333333333333,0.47773660210994423,207.5449600003291,160.79479999825708,397.3874600018455
legacy_hybrid,Legacy Hybrid,15,15,0,0.6666666666666666,0.6666666666666666,0.869047619047619,0.88,0.822962962962963,0.7734363788831964,0.9333333333333333,0.6531363552876698,495.86884000042727,402.3419000004651,1005.4954800023547
raise_srlqa_fast,RAISE-SRL-QA Fast,15,15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956,7.081493333438023,2.0871000015176833,26.782000001548948
raise_srlqa_model,RAISE-SRL-QA Model,15,15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9570883270452419,1294.6329533333483,362.54360000020824,5053.015310000397
