artifact,kind,size_bytes,size_mb,parameter_count,tensor_count,model_key,latency_ms_mean,latency_ms_median,latency_ms_p95,complexity_source,module,lines,functions,classes
,,,,,,,,,,python source,srlqa\reports\__init__.py,2.0,0.0,0.0
,,,,,,,,,,python source,srlqa\reports\leaderboard.py,32.0,2.0,0.0
,,,,,,,,,,python source,srlqa\retrieval\__init__.py,6.0,0.0,0.0
,,,,,,,,,,python source,srlqa\retrieval\build_frame_index.py,16.0,1.0,0.0
,,,,,,,,,,python source,srlqa\retrieval\frame_retriever.py,59.0,5.0,1.0
,,,,,,,,,,python source,srlqa\retrieval\propbank_index.py,118.0,7.0,3.0
,,,,,,,,,,python source,srlqa\training\__init__.py,2.0,0.0,0.0
,,,,,,,,,,python source,srlqa\training\collators.py,98.0,6.0,2.0
,,,,,,,,,,python source,srlqa\training\hard_negative_mining.py,51.0,2.0,0.0
,,,,,,,,,,python source,srlqa\training\losses.py,38.0,3.0,0.0
,,,,,,,,,,python source,srlqa\training\ranking_loss.py,18.0,2.0,0.0
,,,,,,,,,,python source,srlqa\training\train_mrc_srl.py,51.0,2.0,0.0
,,,,,,,,,,python source,srlqa\verification\__init__.py,6.0,0.0,0.0
,,,,,,,,,,python source,srlqa\verification\self_correction.py,31.0,2.0,1.0
,,,,,,,,,,python source,srlqa\verification\span_verifier.py,68.0,3.0,2.0
,,,,,,,,,,python source,srlqa\verification\verifier_training_data.py,32.0,1.0,0.0
